JSD,Norm,σ
0.004515351686230519, 0.007243321805252525, 0.005
0.0025196319090724844, 0.004673237047893023, 0.001
0.00591421575907863, 0.008376033054883568, 0.01
0.00459612266950757, 0.007385717892264077, 0.005
0.002492221164702528, 0.004498942272276289, 0.001
0.005655579813301315, 0.0075040391083467, 0.01
0.005658892386099321, 0.00698021973266978, 0.005
0.0023892830396671835, 0.004160188630249323, 0.001
0.006430133146551144, 0.008079407075293426, 0.01
0.005038486854406837, 0.007177949867475948, 0.005
0.002182147877784126, 0.004294588418078908, 0.001
0.005593005060387595, 0.008193344008392566, 0.01
0.004663211779171894, 0.007305031208626014, 0.005
0.002774983384689487, 0.004456897228462204, 0.001
0.0061946882989721945, 0.008384433743309879, 0.01
0.0047244875069770344, 0.007374962088396979, 0.005
0.0027831715912023294, 0.0043924304478863314, 0.001
0.005865326610751331, 0.007537447489927979, 0.01
0.0051704796971394785, 0.007236267342011553, 0.005
0.0020920907639777452, 0.0044166625611405325, 0.001
0.005910205177697206, 0.008079344021736386, 0.01
0.004712140295286254, 0.007098476742835041, 0.005
0.002438953741674178, 0.0044422091651253656, 0.001
0.006029784701743106, 0.008134117548042621, 0.01
0.0054685766945799345, 0.007598285278309605, 0.005
0.002551840016538384, 0.004393371683839662, 0.001
0.0053990453599698975, 0.00755118976841477, 0.01
0.004560024630016715, 0.007328060821744166, 0.005
0.0026662898791174083, 0.0041757842649362085, 0.001
0.005219349615262419, 0.0077780531190387294, 0.01
0.00452204201567439, 0.007303712656918615, 0.005
0.0024052674044313127, 0.004472191578583524, 0.001
0.005238083808480743, 0.007625207661445976, 0.01
0.00489564890741476, 0.00770794362599173, 0.005
0.0023780939813545744, 0.00452474236903197, 0.001
0.005282073348546603, 0.008221625036696927, 0.01
0.0046919866331754795, 0.007263442839350674, 0.005
0.0027595491904437363, 0.00463230169388239, 0.001
0.0058897851937447735, 0.008479615752964527, 0.01
0.004964732154568906, 0.007050593028536074, 0.005
0.002442313426620765, 0.004292339582036878, 0.001
0.005614773127807824, 0.007874871353314702, 0.01
0.005066821007356472, 0.00739521728612263, 0.005
0.0022425936366002905, 0.0042306727822366, 0.001
0.006227903122978745, 0.007917698430489051, 0.01
0.004469401845251984, 0.006939625433354732, 0.005
0.0024473320015111454, 0.00434061439410589, 0.001
